time,page,tr_CREATE_POST,tr_SIGN_IN 
0,300.069,,1285.012 
10,550.102,,1522.371 
20,3081.109,5326.45,3162.732 
30,10698.609,10367.659,9283.517 
40,17450.386,15143.109,12568.691 
50,24297.102,20939.352,20078.183 
60,30309.9,21264.479,20078.183 
70,38460.77,23664.779,21621.323 
80,41689.898,28216.826,26487.359 
90,46337.38,36958.142,34181.815 
100,58224.544,45281.05,43111.077 
110,63609.92,53978.374,52075.637 
120,78143.653,63238.873,60750.728 
130,80720.167,64006.626,61005.264 
140,83212.331,64006.626,61005.264 
150,83212.331,64006.626,61005.264 
151,83212.331,64006.626,61005.264 
