time,page,tr_CREATE_POST,tr_SIGN_IN 
0,18.343,,1285.012 
10,13.274,,1285.012 
20,12.601,4016.381,1285.012 
30,12.601,4016.381,1285.012 
40,1.824,4002.466,1002.234 
50,1.824,4002.466,1002.234 
60,1.824,4002.466,1002.234 
70,1.824,4002.466,1002.234 
80,1.824,4002.466,1002.234 
90,1.824,4002.466,1002.234 
100,1.824,4002.466,1002.234 
110,1.824,4002.466,1002.234 
120,1.824,4002.466,1002.234 
130,1.824,4002.466,1002.234 
140,1.824,4002.466,1002.234 
150,1.824,4002.466,1002.234 
151,1.824,4002.466,1002.234 
