time,page,tr_CREATE_POST,tr_SIGN_IN 
0,131.0819197152003,,0 
10,199.26143172059517,,61.078229700589965 
20,544.2693814988223,350.54800569043124,469.4383243053796 
30,2218.2353864093875,865.4922322512911,1732.543374821879 
40,4997.072880957204,3912.3516652990324,4338.768893565446 
50,5848.921605975882,6925.988776528295,5782.38262009305 
60,4813.316175150342,3994.6662799655683,6109.176214990737 
70,6288.270580115375,1944.5443501958946,1621.303830684044 
80,8080.3149885668545,2259.4531055132243,1349.3743214435249 
90,7737.655628772418,2401.4184611773185,2091.705155140725 
100,7964.935644081899,1588.5717501482927,2580.7000879062757 
110,5993.616269821397,2112.5500931590173,2602.727586220683 
120,8570.485034794885,2587.6971268199545,2508.8846930679633 
130,9053.462756826722,20.90590086220534,18.70769308232341 
140,24885.953253528296,23535.66904661311,0 
150,17.153391790276842,17.113396217069692,0 
151,4.382145502673002,4.454947065833279,0 
