time,page,tr_CREATE_POST,tr_SIGN_IN 
0,188.5133214285715,,1365.3816923076922 
10,153.7188701298702,4079.8221000000003,1406.8303846153842 
20,1317.2513360655732,5515.577,4417.224189655173 
30,6059.084327433624,9442.259620689652,7624.3159242424235 
40,4783.973471744471,7034.928090909092,5267.846248908299 
50,17160.75812452828,11908.5405,10920.564054054059 
60,21091.492759849916,16481.067862499996,16298.528164556963 
70,24461.553345238084,22358.785018518527,21608.707204301092 
80,35910.02125,29783.746571428568,27701.093980392154 
90,41866.16836363636,38454.2771,35673.487093749995 
100,47526.596277777775,47554.76945454545,44499.29927619045 
