time,size_sent,size_rcv 
0,1.4265625,8.23671875 
10,32.2703125,313.8296875 
20,90.9875,704.58984375 
30,192.9046875,345.9640625 
40,171.2796875,181.0078125 
50,73.07890625,156.575 
60,49.10625,127.225 
70,45.375,142.95703125 
80,44.228125,103.096875 
90,46.79765625,191.3078125 
100,113.8796875,240.8671875 
110,38.5203125,75.03515625 
120,24.175,18.94921875 
130,29.8921875,21.65625 
140,34.2515625,19.93359375 
150,28.78515625,24.36328125 
160,23.49296875,33.71484375 
170,230.8515625,4019.15859375 
180,232.059375,4184.815625 
190,140.3515625,3905.52578125 
200,257.6171875,3871.94375 
204,0,0 
