time,size_sent,size_rcv 
0,1.4265625,8.23671875 
10,33.696875,322.06640625 
20,124.684375,1026.65625 
30,317.5890625,1372.6203125 
40,488.86875,1553.628125 
50,561.94765625,1710.203125 
60,611.05390625,1837.428125 
70,656.42890625,1980.38515625 
80,700.65703125,2083.48203125 
90,747.4546875,2274.78984375 
100,861.334375,2515.65703125 
110,899.8546875,2590.6921875 
120,924.0296875,2609.64140625 
130,953.921875,2631.29765625 
140,988.1734375,2651.23125 
150,1016.95859375,2675.59453125 
160,1040.4515625,2709.309375 
170,1271.303125,6728.46796875 
180,1503.3625,10913.28359375 
190,1643.7140625,14818.809375 
200,1901.33125,18690.753125 
204,1901.33125,18690.753125 
