time,page,tr_JOIN_RANDOM_GROUP,tr_LOAD_GROUPS_PAGE,tr_MAKE_POST,tr_SIGN_UP 
0,280.4812,,22.9,,346.38175 
10,300.2809622641507,271.49025,32.29225,194.2915,437.9278387096773 
20,2630.3064399999994,2891.1317000000004,576.7362083333334,3733.5575,5403.191964285715 
30,8918.249350649352,8899.860499999999,5419.4461666666675,9959.012,9565.584619047617 
40,2919.93990909091,834.2306000000004,697.1550347222221,0,4894.69526785714 
50,6773.524606870233,2.891112068965516,900.0718333333333,26974.527,23193.73611428571 
60,24447.52115384617,5059.671428571429,5631.099333333333,0,31484.322792207793 
70,37613.336722891574,50209.489,19691.624249999997,0,40605.741714285716 
80,45335.696790697686,41305.29033333333,23737.584833333327,0,49421.321514285715 
90,57824.457274406304,60002.199,37696.5536,0,59553.62498850578 
100,18682.284466466444,2367.5977846715336,5397.213419700213,34390.02875,60002.834560311276 
110,16709.217428093638,10476.474199134202,37274.682045454545,27502.625,0 
120,60002.47113513512,63942.61577777778,60002.716293103455,0,0 
130,61332.036011904755,64479.292181818186,60002.40319354838,110818.45199999999,0 
140,60002.31622368421,60002.775166666666,60002.485031250006,0,0 
150,60002.353072164915,64202.305562500005,60002.44918292684,0,0 
160,61154.836274074056,62647.37907407408,60001.37101869158,126508.086,0 
170,28794.948134831502,24952.344212121203,59969.3955,122893.483,0 
180,107640.90877777779,52737.61462376233,0,76595.48166666667,0 
190,136827.9888,32232.3443164557,0,32065.444800000005,0 
200,36134.65665357141,0,0,18976.923875000004,0 
204,0,0,0,0,0 
