time,page,tr_JOIN_RANDOM_GROUP,tr_LOAD_GROUPS_PAGE,tr_MAKE_POST,tr_SIGN_UP 
0,22.722,,22.9,,340.118 
10,15.281,215.524,15.392,153.991,278.393 
20,15.281,215.524,15.392,153.991,278.393 
30,15.281,215.524,15.392,153.991,278.393 
40,0.928,1.453,1.228,153.991,1.166 
50,0.928,1.453,1.228,153.991,1.166 
60,0.928,1.453,1.228,153.991,1.166 
70,0.928,1.453,1.098,153.991,1.166 
80,0.928,1.453,1.098,153.991,1.166 
90,0.928,1.453,1.098,153.991,1.166 
100,0.376,0.742,0.434,1.563,1.166 
110,0.376,0.742,0.434,1.342,1.166 
120,0.376,0.742,0.434,1.342,1.166 
130,0.376,0.742,0.434,1.342,1.166 
140,0.376,0.742,0.434,1.342,1.166 
150,0.376,0.742,0.434,1.342,1.166 
160,0.376,0.742,0.434,1.342,1.166 
170,0.376,0.742,0.434,1.342,1.166 
180,0.376,0.742,0.434,1.342,1.166 
190,0.376,0.742,0.434,1.342,1.166 
200,0.376,0.742,0.434,1.342,1.166 
204,0.376,0.742,0.434,1.342,1.166 
