time,page,tr_JOIN_RANDOM_GROUP,tr_LOAD_GROUPS_PAGE,tr_MAKE_POST,tr_SIGN_UP 
0,0.5,,0.1,,0.4 
10,5.3,0.4,1.2,0.4,3.1 
20,7.5,1,2.4,0.4,2.8 
30,7.7,0.4,0.6,0.1,6.3 
40,41.8,5,14.4,0,22.4 
50,26.2,11.6,7.2,0.1,7 
60,10.4,0.7,2.1,0,7.7 
70,8.3,0.1,1.2,0,7 
80,8.6,0.3,1.2,0,7 
90,37.9,0.1,3,0,34.8 
100,99.9,27.4,46.7,0.4,25.7 
110,29.9,23.1,6.6,0.6,0 
120,7.4,1.8,5.8,0,0 
130,8.4,2.2,6.2,0.2,0 
140,7.6,1.2,6.4,0,0 
150,9.7,1.6,8.2,0,0 
160,13.5,2.7,10.7,0.2,0 
170,44.5,16.5,0.2,0.4,0 
180,0.9,20.2,0,0.6,0 
190,0.5,7.9,0,0.5,0 
200,28,0,0,28,0 
204,0,0,0,0,0 
