time,connect,request 
0,1.8501,191.46811111111117 
10,1.1466200000000002,309.50249074074054 
20,1.3811435643564358,3296.091509433964 
30,1.2973819241982516,9906.264281250003 
40,0,17196.876721518987 
50,0,24829.694523809518 
60,0,32907.27170886075 
70,0,41887.89460227273 
80,0,50604.5586746988 
90,0,56012.15261802578 
100,0,16398.655937072494 
110,0,9023.573906633901 
120,0,15144.082372197307 
130,0,21247.742569444436 
140,0,28350.292718309858 
150,0,31152.338156488557 
160,0,19908.07536337213 
170,0,17470.145401197624 
180,0,23295.56008724832 
190,0,23825.64607603684 
197,0,4141.031479927006 
