time,page,tr_JOIN_RANDOM_GROUP,tr_LOAD_GROUPS_PAGE,tr_SIGN_UP,tr_MAKE_POST 
0,536.623,218.84,25.973,402.421,338.721 
10,1916.701,1257.663,89.397,1879.726,1106.396 
20,7520.28,8237.475,3378.711,7520.441,4764.581 
30,13525.504,16452.809,11728.54,13525.67,4764.581 
40,20934.125,16452.809,18617.035,20934.304,4764.581 
50,28854.122,16452.809,26730.735,28854.377,4764.581 
60,37213.074,16452.809,33241.458,37213.334,4764.581 
70,46071.456,56268.812,44472.446,46071.634,4764.581 
80,54823.403,57041.975,52069.195,54823.566,4764.581 
90,79860.011,73776.581,59388.358,60006.767,76372.547 
100,85998.527,76715.104,59388.358,60006.767,77035.807 
110,94087.781,76715.104,59388.358,60006.767,77035.807 
120,100129.111,76715.104,59388.358,60006.767,77035.807 
130,105150.644,76715.104,59388.358,60006.767,77035.807 
140,109965.993,76715.104,59388.358,60006.767,77035.807 
150,119765.762,76715.104,59388.358,60006.767,77035.807 
160,119765.762,76715.104,59388.358,60006.767,77035.807 
170,119765.762,76715.104,59388.358,60006.767,77035.807 
180,119765.762,76715.104,59388.358,60006.767,77035.807 
190,119765.762,76715.104,59388.358,60006.767,77587.091 
197,119765.762,76715.104,59388.358,60006.767,77587.091 
