time,page,tr_JOIN_RANDOM_GROUP,tr_LOAD_GROUPS_PAGE,tr_SIGN_UP,tr_MAKE_POST 
0,246.22228571428576,218.84,18.149,316.4194444444444,338.721 
10,435.0958918918918,456.6883333333333,34.389250000000004,708.8646944444446,388.440875 
20,3375.810256097561,5335.442375,1115.0896363636364,5742.603894736842,4764.581 
30,9926.37635365854,13907.52925,6546.585333333333,10537.918797101449,0 
40,17278.883178082193,0,16480.61,17517.260696969694,0 
50,24799.560192307687,0,23503.0565,25092.59515151515,0 
60,32958.67446153845,0,31430.88925,33041.451418918914,0 
70,41824.601611764716,54738.55133333333,40800.49283333333,41841.75535526316,0 
80,50682.451075000004,57041.975,48330.81428571429,50978.15330555555,0 
90,56269.38593181818,73170.595,53416.72324545453,59144.64940404037,75219.29333333333 
100,18111.785099041543,72740.40986363638,22248.20689108911,0,74818.441 
110,10067.059039145903,28546.438612244896,6626.329555555556,0,48138.3345 
120,20215.150225806454,23030.695205882348,0,0,30460.851000000002 
130,44612.07869999999,30319.065807692306,0,0,34239.16733333334 
140,59347.172999999995,41500.862,0,0,39397.177 
150,118695.99720000001,51992.3503896104,0,0,51965.8858 
160,101239.868375,57043.38135238092,0,0,57842.5925 
170,74508.11466666666,63614.37990909091,0,0,63176.88016666667 
180,84920.88533333334,67458.924,0,0,70513.98044444445 
190,93965.77257352938,0,0,0,71550.13492647058 
197,88565.49049391728,0,0,0,42310.2129391727 
