time,page,tr_JOIN_RANDOM_GROUP,tr_LOAD_GROUPS_PAGE,tr_SIGN_UP,tr_MAKE_POST 
0,13.184,218.84,14.154,271.722,338.721 
10,11.265,200.698,14.154,255.69,196.17 
20,11.265,200.698,14.154,255.69,196.17 
30,11.265,200.698,14.154,255.69,196.17 
40,11.265,200.698,14.154,255.69,196.17 
50,11.265,200.698,14.154,255.69,196.17 
60,11.265,200.698,14.154,255.69,196.17 
70,11.265,200.698,14.154,255.69,196.17 
80,11.265,200.698,14.154,255.69,196.17 
90,11.265,200.698,14.154,255.69,196.17 
100,11.265,200.698,14.154,255.69,196.17 
110,11.265,200.698,14.154,255.69,196.17 
120,11.265,200.698,14.154,255.69,196.17 
130,11.265,200.698,14.154,255.69,196.17 
140,11.265,200.698,14.154,255.69,196.17 
150,11.265,200.698,14.154,255.69,196.17 
160,11.265,200.698,14.154,255.69,196.17 
170,11.265,200.698,14.154,255.69,196.17 
180,11.265,200.698,14.154,255.69,196.17 
190,11.265,200.698,14.154,255.69,196.17 
197,11.265,200.698,14.154,255.69,196.17 
