time,page,tr_JOIN_RANDOM_GROUP,tr_LOAD_GROUPS_PAGE,tr_SIGN_UP,tr_MAKE_POST 
0,1.4,0.1,0.3,0.9,0.1 
10,7.4,0.9,2,3.6,0.8 
20,8.2,0.8,2.2,3.8,0.1 
30,8.2,0.4,0.6,6.9,0 
40,7.3,0,0.4,6.6,0 
50,7.8,0,1,6.6,0 
60,7.8,0,0.4,7.4,0 
70,8.5,0.3,0.6,7.6,0 
80,8,0.1,0.7,7.2,0 
90,22,0.5,11,9.9,0.3 
100,62.6,2.2,40.4,0,0.8 
110,28.1,4.9,0.9,0,0.4 
120,6.2,6.8,0,0,0.5 
130,1,2.6,0,0,0.3 
140,0.5,3.3,0,0,0.2 
150,0.5,15.4,0,0,0.5 
160,0.8,21,0,0,0.8 
170,0.6,1.1,0,0,0.6 
180,0.9,0.1,0,0,0.9 
190,6.8,0,0,0,6.8 
197,41.1,0,0,0,41.1 
