time,page,tr_JOIN_RANDOM_GROUP,tr_LOAD_GROUPS_PAGE,tr_SIGN_UP,tr_MAKE_POST 
0,159.35497586943103,0,5.532818510186888,43.660997316728306,0 
10,511.4887739066507,337.15055366046124,17.41646668206557,507.5814163279521,284.07246183211663 
20,2680.234132514318,1930.977521453185,1053.0630198626873,1681.4273496691778,0.0 
30,2406.394792167863,2519.7026383526277,2814.1619283450195,1795.6773245869522,0 
40,2332.7878525117767,0,1851.2348023183072,2189.312848910466,0 
50,2354.7436150653593,0,2486.4407884275984,2228.913307679758,0 
60,2482.103950883321,0,1866.2484447676534,2484.4669458250773,0 
70,2778.850240755779,1889.0353971203297,2897.8466260421983,2776.7425883474507,0 
80,2616.2225946263948,0.0,2250.2454173255796,2483.1631460535095,0 
90,4884.624831379074,406.0601965241144,3793.9255676496878,1301.3661435169515,949.9534780189105 
100,16081.209060415224,4489.665173844137,14128.364779291262,0,1865.2029091009167 
110,9980.677224015273,21309.65075955451,1136.6594959694744,0,13498.694707450133 
120,22934.37056625398,8550.156680488533,0,0,5233.5954780947695 
130,39220.81168077748,6773.715593587675,0,0,483.8534443026673 
140,41232.04639164998,5500.203800706629,0,0,111.73099999999977 
150,1193.586000620546,1854.90627982323,0,0,1303.9912228033454 
160,12793.206526484899,1510.6672367783892,0,0,1964.2485927035166 
170,389.236831947537,1022.9203995181915,0,0,425.73508732207983 
180,3177.085714836545,0.0,0,0,2670.8665912442048 
190,1440.8077168076823,0,0,0,3698.6328788172796 
197,4018.8842794979964,0,0,0,6121.860198459263 
