time,page,tr_JOIN_RANDOM_GROUP,tr_LOAD_GROUPS_PAGE,tr_MAKE_POST,tr_SIGN_UP 
0,709.224,,,,709.416 
10,2177.085,143.133,170.198,115.002,2177.331 
20,7464.271,1075.58,2235.828,925.169,7464.482 
30,11445.423,7813.156,7979.331,4664.28,11445.582 
40,19156.291,22523.557,15445.159,4664.28,19156.484 
50,27303.488,26515.498,25113.719,4664.28,27303.663 
60,35243.005,26515.498,28850.516,4664.28,35243.279 
70,43880.423,26515.498,43224.513,4664.28,43880.585 
80,52959.129,26515.498,51571.354,4664.28,52959.362 
90,60003.744,26515.498,59060.828,4664.28,60003.926 
100,78682.243,74573.642,59060.828,72663.156,60003.926 
110,78682.243,74573.642,59060.828,72663.156,60003.926 
119,78682.243,74573.642,59060.828,72663.156,60003.926 
