time,page,tr_JOIN_RANDOM_GROUP,tr_LOAD_GROUPS_PAGE,tr_MAKE_POST,tr_SIGN_UP 
0,150.40350647322026,,,,150.8731434515766 
10,584.0373206117806,22.25650790078039,35.52849145228376,18.313353132004526,570.890133316921 
20,2524.188728261516,298.4673561033473,661.6298430671487,214.58862595629338,1947.30492605487 
30,1815.295795504065,512.886185285672,1723.9556352522416,0.0,776.7487611032119 
40,1746.085298462815,2384.7445000000007,1025.3516379467703,0,1670.7940490007952 
50,2101.1656646733677,0.0,2051.016194394546,0,2029.598350003448 
60,2924.9980858380695,0,1215.6901364495254,0,2902.181956174677 
70,2930.3114472992115,0,1134.6946720796045,0,3004.8552865856004 
80,2627.9656836493136,0,2457.838354357869,0,2635.0691427674888 
90,2374.6454486994967,0,1995.1481624702467,0,1761.605233052986 
100,17907.660914979737,25070.684796422578,16313.799773222132,28385.840754319142,0 
110,11291.207438159152,2198.3427862225885,0.0,826.9673419570839,0 
119,1189.963364671714,139.0105179330569,0,1656.6066873687098,0 
