time,page,tr_CREATE_POST,tr_SIGN_IN 
0,199.07530519918,,103.59226645354492 
10,218.6735702110346,122.95158018053289,225.51824745616102 
20,2109.5059533069357,1427.5003274344629,1378.8242941512042 
30,2770.277961823601,1001.015358105594,861.5819352799455 
40,5899.736444731834,5029.3118741213575,5471.385581114662 
50,6505.32945846216,6404.188582829177,6557.666598078838 
60,4174.619276582734,1556.4470693104677,1948.5250864658628 
70,8476.620749684926,1052.207531423841,2086.609416739977 
80,7840.759816920795,1845.3018148761983,2317.166436258879 
90,7367.985735613682,2835.4198921152565,2298.305980280912 
100,6229.105179615188,1914.791831163584,2634.2985766312663 
