time,page,tr_CREATE_POST,tr_SIGN_IN 
0,467.617,,1455.194 
10,796.439,4025.111,1772.82 
20,3036.877,6354.301,4183.594 
30,11022.482,10249.085,9012.844 
40,20012.184,16263.315,13699.207 
50,24184.773,18711.945,17540.868 
60,31055.76,18711.945,17540.868 
70,37491.052,24962.919,23834.717 
80,43492.383,34008.769,32083.574 
90,54425.4,42881.613,40927.982 
100,63817.424,49689.09,50069.317 
110,65970.993,57643.292,58610.986 
120,75886.222,64008.514,61010.964 
130,82969.432,64008.514,61010.964 
140,84484.599,64008.514,61010.964 
150,84484.599,64008.514,61010.964 
150,84484.599,64008.514,61010.964 
