time,page,tr_CREATE_POST,tr_SIGN_IN 
0,176.34442857142858,,1373.1286666666667 
10,202.6182456140351,4018.8050000000003,1415.7429600000003 
20,508.4675999999997,4692.532111111112,2813.0623636363634 
30,5106.800103092787,8703.7966,6718.318523076922 
40,5026.680918918915,8624.756105263155,5647.782961538467 
50,17288.123383606555,16302.635625000003,12544.514264705886 
60,19785.25227586207,15747.876729729733,13730.090808988765 
70,23656.48094520547,21662.104594594595,20149.424054945055 
80,29546.513200000005,30158.029045454543,27810.184198113206 
90,41122.01953124999,38392.30681249999,36624.7183592233 
100,50515.24537499999,48678.97114285715,45454.556609090905 
110,58582.854352941176,55087.705714285716,54418.5453235294 
120,66721.60264925376,63975.739955223886,60842.24651030929 
130,71973.67523972604,64003.99644642859,0 
140,63935.78883313616,22072.434452991452,0 
150,12.981210696920586,4014.149536466777,0 
150,0,0,0 
