time,page,tr_CREATE_POST,tr_SIGN_IN 
0,13.412,,1327.688 
10,11.153,4015.373,1250.762 
20,10.844,4015.373,1250.762 
30,10.844,4015.373,1250.762 
40,1.879,4002.926,1002.423 
50,1.879,4002.926,1002.08 
60,1.879,4002.926,1002.08 
70,1.879,4002.926,1002.08 
80,1.879,4002.926,1002.08 
90,1.879,4002.926,1002.08 
100,1.879,4002.926,1002.08 
110,1.879,4002.926,1002.08 
120,1.879,4002.926,1002.08 
130,1.879,4002.926,1002.08 
140,1.879,4002.926,1002.08 
150,1.879,4002.926,1002.08 
150,1.879,4002.926,1002.08 
