time,page,tr_GET_POSTS,tr_CREATE_POST,tr_SIGN_IN 
0,354.454,11.726,,1330.825 
10,1007.3,146.382,4020.123,1917.043 
20,4224.093,2449.258,5808.26,4632.286 
30,14087.262,6663.397,10278.681,8383.864 
40,22423.555,11693.26,15780.152,12993.302 
50,27933.833,15000.139,19132.808,17297.77 
60,35266.11,15995.985,21007.115,18367.534 
70,45848.562,23616.231,27654.675,25360.545 
80,54675.107,31809.291,33612.864,33857.533 
90,62681.085,37025.067,39840.131,39131.449 
100,67043.133,44421.756,48369.856,46420.834 
110,81024.859,53742.021,58228.099,55783.552 
120,91470.18,60005.321,64005.592,61011.417 
130,95332.325,60005.321,64005.592,61011.417 
140,95332.325,60005.321,64005.592,61011.417 
144,95332.325,60005.321,64005.592,61011.417 
