time,page,tr_GET_POSTS,tr_CREATE_POST,tr_SIGN_IN 
0,139.85676923076923,10.2866,,1314.6982 
10,239.16545714285712,16.610172413793098,4018.046857142857,1505.7596551724137 
20,385.58431884057956,317.3454285714285,4535.3799,2535.7733272727273 
30,5123.375912280704,4750.479152173913,8669.552444444445,6481.837272727271 
40,4611.175432432437,1333.4001693989069,10761.232173913042,3763.935260273972 
50,13327.934534450655,5061.0472745098,5868.087020408163,7309.280366863908 
60,20737.006414316696,10863.78325581395,15100.863213333338,14223.518990196078 
70,24293.265549999993,14518.793549999999,23652.083298245612,20748.646509259266 
80,33974.044078947365,29087.55175,31048.810956521735,30021.421638297874 
90,49312.27977142856,34382.62244897959,37184.85018181818,36839.44873076923 
100,53935.12776,39733.61976923077,43696.06363636363,42943.22780645163 
110,55512.54905714286,51768.34512499999,55020.78799999999,51074.51679245282 
120,64119.9378208955,59262.78216216215,61892.72816981132,59303.261374999995 
130,72844.42014840187,33195.528057335614,41499.82507874016,61003.68738888888 
140,15.315939962476554,0,4016.628804878048,0 
144,13.942059360730592,0,4015.1551963470315,0 
