time,page,tr_GET_POSTS,tr_CREATE_POST,tr_SIGN_IN 
0,13.33,9.308,,1300.388 
10,11.946,7.332,4014.853,1255.402 
20,11.946,6.967,4014.764,1255.402 
30,11.946,6.967,4014.764,1255.402 
40,1.926,0.355,4002.899,1002.149 
50,1.678,0.196,4002.39,1001.991 
60,1.678,0.196,4002.39,1001.991 
70,1.678,0.196,4002.39,1001.991 
80,1.678,0.196,4002.39,1001.991 
90,1.678,0.196,4002.39,1001.991 
100,1.678,0.196,4002.39,1001.991 
110,1.678,0.196,4002.39,1001.991 
120,1.678,0.196,4002.39,1001.991 
130,1.678,0.196,4002.39,1001.991 
140,1.678,0.196,4002.39,1001.991 
144,1.678,0.196,4002.39,1001.991 
